sentences,advice,symptoms
想同人傾訴 但係講得太多又驚人唔想再理我 覺得我好煩,明白你呢個孤單嘅感受  你承受嘅已經太多啦 可以試吓同朋友講吓你嘅憂慮！,L5
每次考試都會忍唔住不停對時間,考試忍唔住不停對時間，係咩原因呢？,T7
考試時侯個腦會變左空白…忘曬d野… ,考試個腦空白，唔記得嘢，你嘅感受係點？,T5
我好緊張呀，如果呢次我仲fail點算,明白你嘅緊張。為咗pass，今次你打算點準備？,T2
最後亂咁寫咁做完 唔知錯定對,唔緊要啦，等答案公佈嗰陣睇下自己錯左邊度，然後Mark 低錯左D咩,T4
最近有個煩腦  就係突然唔想返學  因為好怕同人講野,聽到你因為害怕同其他人講野而唔想返學，你就著呢個問題有無想過解決辦法呢？,L5
我都係 開心唔開心都好想同人分享   但無人可以講,太多心事喺心裡面的確會好辛苦。你可以搵屋企人或者朋友傾訴。再唔係，搵學校/社區嘅社工都得。,L2
讀書讀到好想自殺啊啊啊啊啊啊 ,明白你讀書辛苦。我想聽你講多啲關於你嘅心情。,T11
多數係人地個樹窿，調轉自己呻心事反而聽都廢事聽咁,明白呢個感受會令人唔開心，試吓對人敞開自己,L2
"人會因為孤獨而感到傷心寂寞,而我這種人卻早已習慣了孤獨,若是沒有了自己的孤獨空間,將無所適從..",聽到你已經習慣咗孤獨，亦都想留喺自己嘅孤獨空間，咁你覺得呢個處境對你有冇造成影響？,L3
個人少野講，死毒撚又唔係好識同人相處，好多野基本上都係自己一個做，已經慣咗自己一個,一直自己一個做事，令你有點樣嘅感受？,L1
就快考試 超大壓力  ,因為就快考試所以覺得壓力超大，可以仔細啲講下你嘅感受嗎？,T9
"即身處人群中,孤獨發自內心來..",明白你嘅感受試吓搵多啲嘢做充實下自己 唔好俾自己落入寂寞嘅感覺,L3
我考試嗰時隻手震個不停,輕微手震應該好普遍嘅 不過如果嚴重就最好請教下醫生 避免飲有咖啡因嘅飲品都可能有幫助架,T10
可能傾計時大家啲話題唔係好啱 搞到自己一個好似離群咁,明白你未必同身邊嘅人有共鳴而有啲覺得同身邊嘅人有隔膜，令你感到不快。,L5
覺得好辛苦，周圍啲人個個都係咁，又冇人一齊做..同佢地食飯永遠話題都唔一樣,"俾個機會自己,俾個機會別人,當然最好係識得志同道合嘅朋友，但都要先了解自己有咩愛好，多參與活動，咁樣就算識唔到新朋友起碼都係自己鍾意做嘅事，唔會浪費左金錢同時間。",L5
唔只爸爸媽媽，細佬妹都係咁，唔知係咪由細已經無咩點同我地好深層溝通，大個咗大家都無乜兩句,我都明白有時同家人溝通可能有困難，你可以試下多啲關心佢哋，多啲表達你嘅想法。唔好忘記幫自己打氣呀。,L5
睇住人地成日同班fd出去玩 係到諗點解自己永遠都係一個人,明白你得知其他人有朋友陪伴後感到孤獨，你可以搵學校counsellor傾下㗎！,L3
我覺得大部分題我都答錯了,覺得大部分題目都錯嘅原因係？,T4
所以遇到識答嘅題目，我總系想儘早寫完,遇到識嘅題目想快啲寫完，你會用咩方法？,T7
其他fd都有但只限偶然係學校撞岩落堂食個飯 重點係佢地好多有上庄又一早已經有自己既圈子 所以好難融入,其他同學有自己既圈子，令你覺得難融入。你對於呢件事有咩感受呢？,L8
"我都好怕被人出賣.有時對方講既都唔知真定假.
有時寧願上網識朋友... 因為唔駛煩對方係咪講真定講假
因為無論點...都唔會傷害到自己",聽起來你經歷了一場如地獄般的考驗。或者你可以用少少時間去睇吓你嘅朋友值唔值得信任!,L6
搞到我依家壓力好大就嚟爆,咁就要搵啲方法放鬆自己喎 多啲同信得過嘅人分享溝通 佢哋好樂意聆聽同分擔架,T9
"明明有時好想影相,但冇friend一齊最後都冇去影..",明白這感受會令人不開心..你可以搵學校嘅counsellor傾下㗎..嘗試拆解原因所在除左識得新朋友，同你識得嘅人keep contact都係一樣重要嘅。,L3
我好孤單呀�，好撚想喊呀,好難過你經歷咗咁多野 你會唔會可以講多少少？,L1
尤其做野，好多時新同事反而同舊同事成日約，但我就永遠被忘記,人哋有活動嘅時候，自己無辦法加入的確唔好受。你會唔會想主動同同事傾下偈，熟絡下先？,L7
沒有人理解的感覺很難受，很討厭這一切， 不如還是放棄吧....？我真的很累很累......,明白這感受會令人不開心..你可以搵學校嘅counsellor傾下㗎..敞開自己 唔好收埋負面情緒,L4
係咩？但係我控制唔到我自己緊張  ,控制自己情緒係唔容易。緊張時，你會諗啲乜？,T9
好驚因為gpa唔夠好爭唔到intern,"擔心gpa唔夠就爭唔到intern,令你有點嘅感覺？",T2
人大左愈黎愈孤獨好辛苦,聽到你覺得長大之後需要自己面對好多事情，可能會令你感到無力，你可以搵學校counsellor傾下㗎！,L1
唔開心/開心想分享，發覺根本冇人可以搵,想同人分享心情，但係搵唔到對象，令你有點樣嘅感受？,L2
考試嗰陣，我只手仲系熱到冒汗，寫字都難,考試嘅時候隻手流汗，你會點應對？,T10
大學裡面無咩朋友 就算見到識既人最多都係叫同學,你可以試下網上交友。網上有好多論壇同交友網站，令你接觸到有共同興趣嘅⼈。,L8
我成績咁差，溫幾耐都好似考唔好咁,覺得溫幾耐都考得唔好，你有點嘅感受？,T4
人愈大 覺得好孤獨 好似無咩野可以令自己開心,我明白你嘅感受，你可以出街散下步、觀察下街道上嘅⾏⼈，或者同鄰居打個招呼， 都會令你冇咁孤單。,L3
我都係 同人講野怕dead air 係一班人面前寧願咩都唔講 有時講講下野 無論係好笑野定講自己生活既野 無人比反應真係慘過食屎,你嘅經歷可能會令你害怕成為話題終結者，亦同身邊嘅人冇咩深入交流，你可以同學校嘅counsellor傾下㗎！,L5
"我一個sem入面 同人食飯次數得3次
其餘都係自己食",一個Sem大部分時候自己食飯，呢件事令你有點樣嘅感受？,L1
考試嗰陣時太緊張 心跳個不停 仲會覺得好熱,考試太緊張，心跳不停又覺得熱，嗰陣你會點做？,T10
"中學同學一個都冇聯絡，成日見到佢地搞gathering ,但係就冇搵我",唔好咁灰心住，你可以首先了解下點解人地唔搵你，之後或者你可以搵你信任嘅人講依件事。,L7
可能我成日諗住如果成績差，我爹地媽咪會失望,爹哋媽咪失望嘅話，你會有點嘅感受？,T3
而且忍唔住會東張西望 ,有時環境嘅事物可以幫你聯想到一啲知識同答案 好自然嘅,T6
"""我覺得我做得好差，成績應該得好低分 """,我想知道，點解認為自己做得差呢？,T1
臨考試前有好多野要溫返，好大壓力啊 ,所以要好好規劃 早啲開始循序漸進咁溫書就會輕鬆好多,T9
我又唔會主動同朋友講自己有咩心事，覺得自己會煩到人時，人地又唔會想知，所以好多野都收埋自己解決,明白你呢個孤單嘅感受  你承受嘅已經太多啦 可以試吓同朋友講吓你嘅憂慮！,L5
"己經無個種可以同人交心既心情,太多野溶埋一齊都交唔到出去",唔希望同人交心，因為心裏面有太多溶埋一齊嘅乜嘢？可以講多啲俾我聽嗎？,L6
好多題目都唔識答，我會唔會唔好成績,盡力 問心無愧就足夠了 未來要更加努力喔,T1
人生是這樣的孤獨和如此的沒意思,聽落你覺得人生就係好孤獨同無意思，你介唔介意講多少少比我知發生咩事呀？,L3
"因為科科都要做 pj , 每日都同好多人接觸, 但都係為持工作伙伴關係.",有幾個真心朋友都好好嘅 可以試吓對同科嘅人咁敞開自己同人傾吓計識下佢哋,L6
"成班人飲酒又好,玩得幾開心都好,往往都仲會有得自己一個人既感覺.",我能夠理解你即使身邊有人但仍然感到孤獨，令你有啲失落。,L3
可能我成日擔心如果成績唔好，我爹地媽咪會失望,爹哋媽咪失望，會令你覺得點樣？,T3
我宜家心情緊張得不得了,搵啲時間做自己想做嘅事 多啲同信得過嘅人分享溝通 佢哋好樂意聆聽同分擔架 或者搵其他嘢做下轉移一下注意力,T9
因為過分緊張反而令我考試成績更差,冇錯 所以你要試下唔同方法放鬆一下喔,T9
我成日都睇個表，好驚時間唔夠用 ,成日睇錶，因為驚時間唔夠用。你呢啲時侯嘅感受係點？,T7
以前都有幾班fd玩開，但一讀完書/轉工之後keep唔到，大家冇乜聯絡，慢慢已經成為陌生人,舊朋友無聯絡的確會生疏。有機會可以主動搵下佢哋嗎？,L6
"朋友有嘅, 不過好多都未去到會講心事嘅位, 唔知係大家唔夠friend定係我唔太講自己嘢, 我覺得我唔係孤獨而係寂寞.",寂寞嘅感覺的確難受。你覺得朋友可能係因為唔夠熟所以未可以講心事。會唔會想嘗試同佢哋講多啲自己嘢呢？,L6
"I know that feel
以前有好幾個唔錯 交心既frd
但一次又一次俾人背後中傷 冤枉我
搞到而家得返乜都冇:-( 
已經唔想再識朋友 好灰",俾交心friend背後傷害咁多次，你一定覺得好辛苦，唔敢信任朋友。可以講下當時發生咗啲乜嘢事嗎？,L6
我個腦一片空白嘅時候就會轉筆,你考試之前會唔會做熟啲題目 咁樣會唔會有助你嘅發揮,T8
我考緊試嗰時好害怕  ,明白你嘅難受。考試嘅時侯你會害怕啲咩呢？,T9
而且我一諗到下過月要考試，就經常緊張到身體唔舒服同埋瞓唔著,一諗到下個月要考試就緊張，唔舒服仲瞓唔著，係好辛苦。你點樣面對呢啲日子？,T9
好鍾意睇戲，好睇唔好睇嘅都會有好多感想，遇到好有感覺嘅電影，好想同人分享，但身邊一個可分享電影嘅朋友都無。,睇黎你對電影有好多心得，可以試下網上討論區同人交流。喺現實世界都可以試下藉住介紹電影，同家人朋友展開話題。,L2
"由細到大都因為存在感低比人忽視 
就不如自己一個行開好過
行街見到識既人會傾向避開多過打招呼
或者扮睇唔到等人地主動過嚟搵我我先回應
其他野都同樓主差唔多
不過我同樓主相反 會覺得身邊既人個個都有唔同方面既長處 而自己就一無是處
簡單嚟講即冇自信 都諗唔到點解決呢個問題lo",明白你呢個感受先唔好灰心 或者試吓可以喺新嘅圈子同其他人相處,L7
我怕屋企人擔心，唔知道點算啊,多啲同屋企人溝通 佢地好樂意跟你分擔同了解架,T3
讀大學真係好孤獨，好難識朋友，識到都未必keep到,明白你認為大學階段認識新朋友好困難，而且亦好難維繫，令你好迷失，是嗎？,L8
我考試嗰陣成日都好緊張,都好common嘅 你通常會點樣放鬆自己,T9
然後就交卷了，我猜想這次考得很低,嚟緊仲有冇下一科，繼續努力考好下一科拉分吧。,T1
如果分數低，我驚我媽咪鬧我,媽咪鬧你，會令你覺得點？,T3
我真後悔沒有用心復習，考試時又分心,後悔無用心複習同埋考試分心，的確係幾難受。,T5
怕自己啲負能量太多影響人,有負面情緒又怕影響到人嘅話，唔洗自己收埋，可以搵學校/社區嘅社工傾下。,L5
我做題嗰陣會忍唔住老系轉頭睇吓而家幾點,做題一直睇時間，係點嘅原因呢？,T7
我驚今次fail仲要再考一次,睇落pass對你係好重要。因此，你打算點準備？,T2
而加了這些社團 雖然有認識很多人 但是我幾乎跟大家都不熟  看到一些陌生人一下子就 跟我共事的人就變熟了 我其實挺羨慕的 又有點責怪自己為啥不會聊天 這麼不有趣,我明白你嘅感受，其實同人好好溝通、相處並唔難。試下保持適當嘅語調同眼神接觸，自然咁表達你嘅想法啦。,L5
自己一個行岀街上，我覺得好驚，好陌生，一家大細，一對對情侶，我就獨自一個係人來人往既地方停係到。,我明白你呢個孤單嘅感受呀 可以參加多啲活動搵啲志同道合嘅朋友呀,L7
d人好有主見 成日都好堅持自己 相處辛苦,其他人堅持己見，令到你覺得相處辛苦。可以舉下例子嗎？,L5
"有時我寧願自己係一個真正毒向左走向右走
至少我可以寄情於ACG世界入面
而可以同其他毒向左走向右走交流心得
相反 而家作為一個""正常人""
我反而乜都冇",我明白你呢個孤單嘅感受呀 可以參加多啲活動搵啲志同道合嘅朋友呀,L3
我覺得好無助孤獨，好想跳樓自殺好耐…,聽到你不開心和間中感到孤單冇力，你可以搵學校嘅counsellor傾下㗎！,L3
如果今次考試仲系唔好，我爹地肯定有會嬲我,試下同爹地傾下，話比佢知你呢一科不太理想比佢做定心理準備,T3
"""所以遇到識嘅題目，我總系想盡早做完      """,遇到識嘅題目想快啲做完，你會用咩方法？,T7
老師都覺得我只是壓力大…我只是在逃避問題…卻沒有人願意了解我…,老師嘅誤解令你傷心。我想聽你講下發生咗乜事。,L4
"孤獨令人成長,令人獨立.",你覺得孤獨令人成長而變得獨立。係咩原因令你咁諗呢？,L3
以前覺得同成幫朋友一齊會好開心只係一時開心 但開始冇乜心機搵，因為冇人明白我,以前覺得同朋友一齊開心都只係一時嘅開心，而無人明白你，到底發生咗咩事呢？,L4
"大學讀到而家差唔多最後一年,直頭放棄咗去識朋友,一日淨係得番係得返返學放學,一條友去溫書,一條友返屋企,無限loop…",明白你會有咁嘅感覺唔好咁灰心先可以試吓用social Media 搵吓朋友,L1
所以最寂寞孤獨係 近乎獨自咁承受這一切,睇黎你自己承受一切，感到有壓力。你可以試下搵朋友或者屋企人傾訴，或者學校/社區嘅社工都得。唔需要凡事自己面對。,L1
我次次入咗考場都會十分緊張 ,次次入咗考場就緊張，你平時點應對？,T9
"最青春係約一大班friend去海灘野餐兼玩水,大咗就冇人陪我癲了...",我好難過你經歷咗呢啲嘢所以keep contact都好重要㗎,L3
我成日都望個鐘，好驚時間唔夠用,驚時間唔夠用所以成日望鐘，係咩原因呢？,T7
來緊下星期有四科要考。好大壓力。 傷心 ,連續考真係好大workload 試下集中溫重點同熟習題目 分配好時間 捱過咗就輕鬆好多架啦,T9
因為我溫左好耐書都忘曬,溫左好耐書都忘記，會令你有點嘅感覺？,T5
我感覺到我心跳加速  ,感到心跳加速，點解呢，我想聽你講多啲。,T10
其實次次考試，我都緊張，然後身體就會熱到冒汗 ,次次考試都成身出汗，你會點做？,T10
